number,description,dueDate,phone
1,Awaria klimatyzacji. Na salonie temperatura wzrosła do 27 stopni. Pozdrawiam Ela.,2020-01-04 13:30:00,
2,Prośba o wizytę    ,2020-01-07 00:30:11,""""
3,Cieknący kran na zapleczu. Mokre buty!,2020-02-01 04:32:00,4
4," Odpada tynk między szafą, regałem a witryną, proszę o doklejenie go.",2020-02-03 15:15,666-445-127
5,Przegląd zaplanowany na luty. Prosze spojrzeć też do rozdzielni. ,2020-02-05 00:00,888000128
6,"Witam dzień dobry, mam sprawę, zgłaszałam ostatnio awarię, ale teraz chciała bym przegląd, proszę przyjechać przeglądnąć klimakonwektory.",,668-221-777
7,Awaria! Awaria pompy głębinowej w na basenie dla gości VIP. Nie ma czasu proszę w tej chwili przyjechać.,,668-221-777
8,Proszę przyjechać na przegląd instalacji elektrycznej dnia 15 lutego.,2020-02-15,+48606303404
9,"Klima nie chłodzi, tylko grzeje, nie jestem z tego powodu zadowolona.",,
10,Czy Panowie mogą zjawić się na ponowny przegląd rur kanalizacyjnych? Mamy tu mały problem z zapachem.,2020-02-22,+48701145976
11,Prośba o wizytę    ,2020-02-23,
12,"Bardzo pilne. Proszę o interwencję serwisu, chłodziarki w dziale mięso działają jak chcą, tzn. działają albo nie działają.",2020-03-01,876123567
13,"Sprawa jest dosć pilna ponieważ mamy wyciek wody lodowej przy samym suficie, w rogu. Proszę o wizytę!",2020-03-02,873322976
14,Awaria kotła w głownym pomieszczeniu magazynowym.,,
15,Krajalnice mięso. Nie działa tarczka głównej maszyny bardzo pilne.,,888241636
16,Awaria kotła w głownym pomieszczeniu magazynowym.,,
17,"Mam na panów złą wiadomość. Zapraszam na ponowny przegląd maty zabezpieczającej w meblu kasowym. Ostatnio był a sprzęt niestety nie działa, pilne!",2020-03-02 00:00:00,+48505167301
18,"Myślę że już czas pomyśleć o ponownym przeglądzie klimatyzacji na sali sprzedaży.Bardzo pilne to nie jest ale, POTRZEBNE!",,506 482 179
19,"Brak internetu w pomieszczeniu pracowniczym, nie wiem może ktoś urwał od internetu kabel.",,
20,"pRosimy o natychmiastoO0wy Przgląd wuzków widłowych, wydaje sie ze cos z nNIch wYCIEKa",2020-04-01,567-124-572
